,Question,History2,Rewrite
176,What happened to dinosaurs after then?,I just watched the Jurassic Park movie and I got interested in dinosaurs. Can you tell me about the time when dinosaurs actually existed? | Hmm. What else was characteristic about the Mesozoic Era asides the existence of Dinosaurs? | Can you tell me more about the fossil records and the theory of plate tectonics? | What was earth's landmass like during the Mesozoic era? | That's really cool. Could such a huge continent like Pangaea form again? | Okay. You mentioned three periods in the Mesosoic Era. What was characteristic about the Triassic Period? | What was characteristic about the Jurassic Period? | What was characteristic about the Cretaceous Period?,What happened to dinosaurs after the Cretaceous period ended?
177,How do the evolution of dinosaurs across the three periods compare?,I just watched the Jurassic Park movie and I got interested in dinosaurs. Can you tell me about the time when dinosaurs actually existed? | Hmm. What else was characteristic about the Mesozoic Era asides the existence of Dinosaurs? | Can you tell me more about the fossil records and the theory of plate tectonics? | What was earth's landmass like during the Mesozoic era? | That's really cool. Could such a huge continent like Pangaea form again? | Okay. You mentioned three periods in the Mesosoic Era. What was characteristic about the Triassic Period? | What was characteristic about the Jurassic Period? | What was characteristic about the Cretaceous Period? | What happened to dinosaurs after the Cretaceous period ended?,How do the evolution of dinosaurs across the three periods in the Mesozoic era compare?
178,That's interesting. How scientifically accurate was the movie?,I just watched the Jurassic Park movie and I got interested in dinosaurs. Can you tell me about the time when dinosaurs actually existed? | Hmm. What else was characteristic about the Mesozoic Era asides the existence of Dinosaurs? | Can you tell me more about the fossil records and the theory of plate tectonics? | What was earth's landmass like during the Mesozoic era? | That's really cool. Could such a huge continent like Pangaea form again? | Okay. You mentioned three periods in the Mesosoic Era. What was characteristic about the Triassic Period? | What was characteristic about the Jurassic Period? | What was characteristic about the Cretaceous Period? | What happened to dinosaurs after the Cretaceous period ended? | How do the evolution of dinosaurs across the three periods in the Mesozoic era compare?,That's interesting. How scientifically accurate was the first Jurassic Park movie?
179,I’d like to learn more about frogs. What’s the biggest one?,,I’d like to learn more about frogs. What’s the biggest one?
180,What's been done to protect them?,I’d like to learn more about frogs. What’s the biggest one?,What has been done to protect Goliath frogs?
181,Has that been effective?,I’d like to learn more about frogs. What’s the biggest one? | What has been done to protect Goliath frogs?,Has the Equatorial Guinean government's conservation measures to protect Goliath frogs been effective?
182,How can I help?,I’d like to learn more about frogs. What’s the biggest one? | What has been done to protect Goliath frogs? | Has the Equatorial Guinean government's conservation measures to protect Goliath frogs been effective?,How can I help with protecting Goliath frogs?
183,"Okay, that’s the biggest.  What is the smallest?",I’d like to learn more about frogs. What’s the biggest one? | What has been done to protect Goliath frogs? | Has the Equatorial Guinean government's conservation measures to protect Goliath frogs been effective? | How can I help with protecting Goliath frogs?,What is the smallest frog?
184,Why would leaf litter affect its size?,I’d like to learn more about frogs. What’s the biggest one? | What has been done to protect Goliath frogs? | Has the Equatorial Guinean government's conservation measures to protect Goliath frogs been effective? | How can I help with protecting Goliath frogs? | What is the smallest frog?,Why would leaf litter affect the size of a frog?
185,I want to go on vacation somewhere in Europe with good food. What are some beautiful places?,,I want to go on vacation somewhere in Europe with good food. What are some beautiful places?
186,"Yes, it'll be my first time. Where should I consider?",I want to go on vacation somewhere in Europe with good food. What are some beautiful places?,"Yes, it'll be my first time in Europe. Where should I consider visiting in Italy?"
187,What should I not miss on the Coast?,"I want to go on vacation somewhere in Europe with good food. What are some beautiful places? | Yes, it'll be my first time in Europe. Where should I consider visiting in Italy?",What should I not miss on the Amalfi Coast?
188,What food is it known for?,"I want to go on vacation somewhere in Europe with good food. What are some beautiful places? | Yes, it'll be my first time in Europe. Where should I consider visiting in Italy? | What should I not miss on the Amalfi Coast?",What food is the Amalfi known for?
189,Duomo?  What’s that?,"I want to go on vacation somewhere in Europe with good food. What are some beautiful places? | Yes, it'll be my first time in Europe. Where should I consider visiting in Italy? | What should I not miss on the Amalfi Coast? | What food is the Amalfi known for?",What is the Duomo on the Amalfi Coast?
190,Cool!  What kinds of innovations?,"I want to go on vacation somewhere in Europe with good food. What are some beautiful places? | Yes, it'll be my first time in Europe. Where should I consider visiting in Italy? | What should I not miss on the Amalfi Coast? | What food is the Amalfi known for? | What is the Duomo on the Amalfi Coast?",What were the technological innovations in Italian cathedrals or catholic churches (the Duomo)?
191,Why is it important to reduce runoff in urban areas?,,Why is it important to reduce runoff in urban areas?
192,What practices could I use at home to help?,Why is it important to reduce runoff in urban areas?,What best management practices could I use at home to reduce runoff?
193,Maybe I could collect it for my garden. I’d like to learn more about using a barrel.  What should I consider?,Why is it important to reduce runoff in urban areas? | What best management practices could I use at home to reduce runoff?,Maybe I could collect it for my garden. I’d like to learn more about using a barrel.  What should I consider when picking a rain barrel?
194,I live in Seattle and have a big lawn. How big should it be? How much can I save?,Why is it important to reduce runoff in urban areas? | What best management practices could I use at home to reduce runoff? | Maybe I could collect it for my garden. I’d like to learn more about using a barrel.  What should I consider when picking a rain barrel?,How much rainwater can I collect with a rain barrel?
195,That sounds like a lot of water. How big are normal barrels? And what material should I get? What are the pros and cons of different materials?,Why is it important to reduce runoff in urban areas? | What best management practices could I use at home to reduce runoff? | Maybe I could collect it for my garden. I’d like to learn more about using a barrel.  What should I consider when picking a rain barrel? | How much rainwater can I collect with a rain barrel?,What are the pros and cons of different rain barrel materials?
196,Is it safe to use on my garden?,Why is it important to reduce runoff in urban areas? | What best management practices could I use at home to reduce runoff? | Maybe I could collect it for my garden. I’d like to learn more about using a barrel.  What should I consider when picking a rain barrel? | How much rainwater can I collect with a rain barrel? | What are the pros and cons of different rain barrel materials?,Is the collected water from a rain barrel safe enough to water my garden?
197,What else should I consider when installing it?,Why is it important to reduce runoff in urban areas? | What best management practices could I use at home to reduce runoff? | Maybe I could collect it for my garden. I’d like to learn more about using a barrel.  What should I consider when picking a rain barrel? | How much rainwater can I collect with a rain barrel? | What are the pros and cons of different rain barrel materials? | Is the collected water from a rain barrel safe enough to water my garden?,What else should I consider when installing a rain barrel?
198,You also mentioned rain gardens earlier. How do they compare?,Why is it important to reduce runoff in urban areas? | What best management practices could I use at home to reduce runoff? | Maybe I could collect it for my garden. I’d like to learn more about using a barrel.  What should I consider when picking a rain barrel? | How much rainwater can I collect with a rain barrel? | What are the pros and cons of different rain barrel materials? | Is the collected water from a rain barrel safe enough to water my garden? | What else should I consider when installing a rain barrel?,You mentioned rain gardens earlier. How do they compare to rain barrels?
199,I’ll try the garden too. What are some native plants for my area that I could use?,Why is it important to reduce runoff in urban areas? | What best management practices could I use at home to reduce runoff? | Maybe I could collect it for my garden. I’d like to learn more about using a barrel.  What should I consider when picking a rain barrel? | How much rainwater can I collect with a rain barrel? | What are the pros and cons of different rain barrel materials? | Is the collected water from a rain barrel safe enough to water my garden? | What else should I consider when installing a rain barrel? | You mentioned rain gardens earlier. How do they compare to rain barrels?,I’ll try the rain garden too. What are some native plants for the Seattle areas that I could use?
200,What’s the science behind why we drink alcohol?,,What’s the science behind why we drink alcohol?
201,What are the causes of it?,What’s the science behind why we drink alcohol?,What are the causes of alcoholism?
202,Who is at high risk?,What’s the science behind why we drink alcohol? | What are the causes of alcoholism?,Who is at high risk for alcohol addiction?
203,What is a safe amount to drink daily?,What’s the science behind why we drink alcohol? | What are the causes of alcoholism? | Who is at high risk for alcohol addiction?,What is a safe amount of alcohol to drink daily?
204,What do the guidelines say for pregnant women? Why?,What’s the science behind why we drink alcohol? | What are the causes of alcoholism? | Who is at high risk for alcohol addiction? | What is a safe amount of alcohol to drink daily?,What do the U.S government guidelines say about pregnant women drinking alcoholic beverages? Why?
205,But I’ve heard that pregnant women in France drink wine with dinner. Is that true?,What’s the science behind why we drink alcohol? | What are the causes of alcoholism? | Who is at high risk for alcohol addiction? | What is a safe amount of alcohol to drink daily? | What do the U.S government guidelines say about pregnant women drinking alcoholic beverages? Why?,But I’ve heard that pregnant women in France drink wine with dinner. Is that true?
206,So you mean that the US suggestion may be too strict? What is the French government's attitude?,What’s the science behind why we drink alcohol? | What are the causes of alcoholism? | Who is at high risk for alcohol addiction? | What is a safe amount of alcohol to drink daily? | What do the U.S government guidelines say about pregnant women drinking alcoholic beverages? Why? | But I’ve heard that pregnant women in France drink wine with dinner. Is that true?,So you mean that the US suggestion which prohibits pregnant women from drinking alcohol may be too strict? What is the French government's attitude towards pregnant women drinking?
207,Tell me about the findings from the Lancet study you mentioned. What advice did it give for safety?,What’s the science behind why we drink alcohol? | What are the causes of alcoholism? | Who is at high risk for alcohol addiction? | What is a safe amount of alcohol to drink daily? | What do the U.S government guidelines say about pregnant women drinking alcoholic beverages? Why? | But I’ve heard that pregnant women in France drink wine with dinner. Is that true? | So you mean that the US suggestion which prohibits pregnant women from drinking alcohol may be too strict? What is the French government's attitude towards pregnant women drinking?,Tell me about the findings from the Lancet study you mentioned. What did  advise on safe consumption levels of alcohol?
208,I’d like to stop. What are some treatment options?,What’s the science behind why we drink alcohol? | What are the causes of alcoholism? | Who is at high risk for alcohol addiction? | What is a safe amount of alcohol to drink daily? | What do the U.S government guidelines say about pregnant women drinking alcoholic beverages? Why? | But I’ve heard that pregnant women in France drink wine with dinner. Is that true? | So you mean that the US suggestion which prohibits pregnant women from drinking alcohol may be too strict? What is the French government's attitude towards pregnant women drinking? | Tell me about the findings from the Lancet study you mentioned. What did  advise on safe consumption levels of alcohol?,I’d like to stop. What are some treatment options for alcoholism?
209,"No, I meant drinking alcohol. What are some rehab treatment options to consider?",What’s the science behind why we drink alcohol? | What are the causes of alcoholism? | Who is at high risk for alcohol addiction? | What is a safe amount of alcohol to drink daily? | What do the U.S government guidelines say about pregnant women drinking alcoholic beverages? Why? | But I’ve heard that pregnant women in France drink wine with dinner. Is that true? | So you mean that the US suggestion which prohibits pregnant women from drinking alcohol may be too strict? What is the French government's attitude towards pregnant women drinking? | Tell me about the findings from the Lancet study you mentioned. What did  advise on safe consumption levels of alcohol? | I’d like to stop. What are some treatment options for alcoholism?,"No, I meant drinking alcohol. What are some alcohol rehab treatment options to consider?"
210,What are the mechanisms of depression?,,What are the mechanisms of depression?
211,What is the role of serotonin?,What are the mechanisms of depression?,What is the role of serotonin in depression?
212,How can I balance it?,What are the mechanisms of depression? | What is the role of serotonin in depression?,How can I balance serotonin?
213,What foods boost it?,What are the mechanisms of depression? | What is the role of serotonin in depression? | How can I balance serotonin?,What foods boost dopamine?
214,How does the phenylalanine convert to tyrosine?,What are the mechanisms of depression? | What is the role of serotonin in depression? | How can I balance serotonin? | What foods boost dopamine?,How does the phenylalanine convert to tyrosine?
215,Can these drugs alleviate depression?,What are the mechanisms of depression? | What is the role of serotonin in depression? | How can I balance serotonin? | What foods boost dopamine? | How does the phenylalanine convert to tyrosine?,Can stimulant drugs alleviate depression?
216,Does this theory explain the cause of depression?,What are the mechanisms of depression? | What is the role of serotonin in depression? | How can I balance serotonin? | What foods boost dopamine? | How does the phenylalanine convert to tyrosine? | Can stimulant drugs alleviate depression?,Does the catecholamine theory explain the cause of depression?
217,Can a person have both at the same time?,What are the mechanisms of depression? | What is the role of serotonin in depression? | How can I balance serotonin? | What foods boost dopamine? | How does the phenylalanine convert to tyrosine? | Can stimulant drugs alleviate depression? | Does the catecholamine theory explain the cause of depression?,Can a person have mania and depression at the same time?
218,"No, I meant mania and depression.",What are the mechanisms of depression? | What is the role of serotonin in depression? | How can I balance serotonin? | What foods boost dopamine? | How does the phenylalanine convert to tyrosine? | Can stimulant drugs alleviate depression? | Does the catecholamine theory explain the cause of depression? | Can a person have mania and depression at the same time?,"No, I meant mania and depression."
219,What are the types of bipolar?,"What are the mechanisms of depression? | What is the role of serotonin in depression? | How can I balance serotonin? | What foods boost dopamine? | How does the phenylalanine convert to tyrosine? | Can stimulant drugs alleviate depression? | Does the catecholamine theory explain the cause of depression? | Can a person have mania and depression at the same time? | No, I meant mania and depression.",What are the types of bipolar disorder?
220,Who are the greatest catchers of all time?,,Who are the greatest catchers of all time?
221,What was he known for?,Who are the greatest catchers of all time?,What was Johnny Bench known for?.
222,Who won his award?,Who are the greatest catchers of all time? | What was Johnny Bench known for?.,Who won the Johnny Bench Award?
223,Who was the next Rookie of the Year for the team after him?,Who are the greatest catchers of all time? | What was Johnny Bench known for?. | Who won the Johnny Bench Award?,Who was the next Rookie of the Year for the Cincinnati Reds after Johnny Bench?
224,Did Bench make it into Cooperstown?,Who are the greatest catchers of all time? | What was Johnny Bench known for?. | Who won the Johnny Bench Award? | Who was the next Rookie of the Year for the Cincinnati Reds after Johnny Bench?,Did Johnny Lee Bench make it into Cooperstown?
225,Was he married?,Who are the greatest catchers of all time? | What was Johnny Bench known for?. | Who won the Johnny Bench Award? | Who was the next Rookie of the Year for the Cincinnati Reds after Johnny Bench? | Did Johnny Lee Bench make it into Cooperstown?,Was Johnny Bench married?
226,I’d like to know about the first two marriages.,Who are the greatest catchers of all time? | What was Johnny Bench known for?. | Who won the Johnny Bench Award? | Who was the next Rookie of the Year for the Cincinnati Reds after Johnny Bench? | Did Johnny Lee Bench make it into Cooperstown? | Was Johnny Bench married?,I’d like to know about Johnny Bench’s first two marriages.
227,Does Bobby play baseball?,Who are the greatest catchers of all time? | What was Johnny Bench known for?. | Who won the Johnny Bench Award? | Who was the next Rookie of the Year for the Cincinnati Reds after Johnny Bench? | Did Johnny Lee Bench make it into Cooperstown? | Was Johnny Bench married? | I’d like to know about Johnny Bench’s first two marriages.,Does Bobby Binger Bench play baseball?
228,Interesting. How old was he when they got divorced?,Who are the greatest catchers of all time? | What was Johnny Bench known for?. | Who won the Johnny Bench Award? | Who was the next Rookie of the Year for the Cincinnati Reds after Johnny Bench? | Did Johnny Lee Bench make it into Cooperstown? | Was Johnny Bench married? | I’d like to know about Johnny Bench’s first two marriages. | Does Bobby Binger Bench play baseball?,Interesting. How old was Bobby Binger Bench when Johnny Bench and Laura Cwikowski got divorced?
229,I saw an online ad for a house with descriptions saying it has a heat pump. What is that?,,I saw an online ad for a house with descriptions saying it has a heat pump. What is that?
230,What are some other choices to heat my home?,I saw an online ad for a house with descriptions saying it has a heat pump. What is that?,What are some other choices besides a heat pump to heat my home?
231,What are the pros and cons between a gas furnace and a heat pump?,I saw an online ad for a house with descriptions saying it has a heat pump. What is that? | What are some other choices besides a heat pump to heat my home?,What are the pros and cons between a gas furnace and a heat pump?
232,A heat pump seems very suitable for my house. How much does it cost to install one?,I saw an online ad for a house with descriptions saying it has a heat pump. What is that? | What are some other choices besides a heat pump to heat my home? | What are the pros and cons between a gas furnace and a heat pump?,A heat pump seems very suitable for my house. How much does it cost to install one?
233,Which type is better in terms of efficiency?,I saw an online ad for a house with descriptions saying it has a heat pump. What is that? | What are some other choices besides a heat pump to heat my home? | What are the pros and cons between a gas furnace and a heat pump? | A heat pump seems very suitable for my house. How much does it cost to install one?,"Which type of heat pump is better in terms of efficiency, a geothermal heat pump or an air-source heat pump?"
234,How many years will it take to recoup the investment?,"I saw an online ad for a house with descriptions saying it has a heat pump. What is that? | What are some other choices besides a heat pump to heat my home? | What are the pros and cons between a gas furnace and a heat pump? | A heat pump seems very suitable for my house. How much does it cost to install one? | Which type of heat pump is better in terms of efficiency, a geothermal heat pump or an air-source heat pump?",How many years will it take to recoup the investment in a geothermal heat pump?
235,That’s great. What makes it so efficient?,"I saw an online ad for a house with descriptions saying it has a heat pump. What is that? | What are some other choices besides a heat pump to heat my home? | What are the pros and cons between a gas furnace and a heat pump? | A heat pump seems very suitable for my house. How much does it cost to install one? | Which type of heat pump is better in terms of efficiency, a geothermal heat pump or an air-source heat pump? | How many years will it take to recoup the investment in a geothermal heat pump?",That’s great. What makes a geothermal heat pump so efficient?
236,Cool science. But I’ve heard some horror stories about air-source ones.,"I saw an online ad for a house with descriptions saying it has a heat pump. What is that? | What are some other choices besides a heat pump to heat my home? | What are the pros and cons between a gas furnace and a heat pump? | A heat pump seems very suitable for my house. How much does it cost to install one? | Which type of heat pump is better in terms of efficiency, a geothermal heat pump or an air-source heat pump? | How many years will it take to recoup the investment in a geothermal heat pump? | That’s great. What makes a geothermal heat pump so efficient?",Cool science. But I’ve heard some horror stories about air-source heat pumps.
237,Tell me about AC systems.,"I saw an online ad for a house with descriptions saying it has a heat pump. What is that? | What are some other choices besides a heat pump to heat my home? | What are the pros and cons between a gas furnace and a heat pump? | A heat pump seems very suitable for my house. How much does it cost to install one? | Which type of heat pump is better in terms of efficiency, a geothermal heat pump or an air-source heat pump? | How many years will it take to recoup the investment in a geothermal heat pump? | That’s great. What makes a geothermal heat pump so efficient? | Cool science. But I’ve heard some horror stories about air-source heat pumps.",Tell me about AC systems.
238,How is it different from a heat pump?,"I saw an online ad for a house with descriptions saying it has a heat pump. What is that? | What are some other choices besides a heat pump to heat my home? | What are the pros and cons between a gas furnace and a heat pump? | A heat pump seems very suitable for my house. How much does it cost to install one? | Which type of heat pump is better in terms of efficiency, a geothermal heat pump or an air-source heat pump? | How many years will it take to recoup the investment in a geothermal heat pump? | That’s great. What makes a geothermal heat pump so efficient? | Cool science. But I’ve heard some horror stories about air-source heat pumps. | Tell me about AC systems.",How is an AC system different from a heat pump?
