,Target,Source
3,How did the international community respond to the EndSars protests in Nigeria?,"Query: How did the international community respond? |||| Context: What's an example of the reasons why (Special Anti-Robbery Squad) SARS officers detain people? ||| The officers, who often worked in plain clothes, developed a reputation for stopping young people, accusing them of theft and then stealing their money, activists say. ||| Why was the Special Anti-Robbery Squad (SARS) established in the first place? ||| SARS formed in 1992 to combat armed robbery with “the element of surprise,” founder Simeon Danladi Midenda told the Nigerian news site Vanguard. ||| A friend said there were massive protests in Nigeria towards the end of 2020. What happened? |||  |||| Reformulation: "
4,"Okay, but I meant the international community's response to the EndSars protests.","Query: Okay, but I meant their response to the EndSars protests. |||| Context: How did the international community respond to the EndSars protests in Nigeria? ||| International outcry, which took off in social media via the hashtag #BringBackOurGirls on Twitter and Instagram, has drawn so much attention to the crisis as to make it impossible for Nigeria’s leaders to ignore. ||| What's an example of the reasons why (Special Anti-Robbery Squad) SARS officers detain people? ||| The officers, who often worked in plain clothes, developed a reputation for stopping young people, accusing them of theft and then stealing their money, activists say. ||| Why was the Special Anti-Robbery Squad (SARS) established in the first place? |||  ||| A friend said there were massive protests in Nigeria towards the end of 2020. What happened? |||  |||| Reformulation: "
5,Did international support from the US help with the EndSars movement?,"Query: Did that help? |||| Context: Okay, but I meant the international community's response to the EndSars protests. ||| “There was no warning,” one protester told The Washington Post, like others speaking on the condition of anonymity because they feared retribution. ||| How did the international community respond to the EndSars protests in Nigeria? ||| International outcry, which took off in social media via the hashtag #BringBackOurGirls on Twitter and Instagram, has drawn so much attention to the crisis as to make it impossible for Nigeria’s leaders to ignore. ||| What's an example of the reasons why (Special Anti-Robbery Squad) SARS officers detain people? |||  ||| Why was the Special Anti-Robbery Squad (SARS) established in the first place? |||  ||| A friend said there were massive protests in Nigeria towards the end of 2020. What happened? |||  |||| Reformulation: "
6,My friend also mentioned that women were instrumental to the EndSars movement. What was their role?,"Query: My friend also mentioned that women were instrumental to the movement. What was their role? |||| Context: Did international support from the US help with the EndSars movement? |||  ||| Okay, but I meant the international community's response to the EndSars protests. ||| “There was no warning,” one protester told The Washington Post, like others speaking on the condition of anonymity because they feared retribution. ||| How did the international community respond to the EndSars protests in Nigeria? |||  ||| What's an example of the reasons why (Special Anti-Robbery Squad) SARS officers detain people? |||  ||| Why was the Special Anti-Robbery Squad (SARS) established in the first place? |||  ||| A friend said there were massive protests in Nigeria towards the end of 2020. What happened? |||  |||| Reformulation: "
7,That's cool. Tell me more about the Feminist Coalition.,"Query: That's cool. Tell me more about them. |||| Context: My friend also mentioned that women were instrumental to the EndSars movement. What was their role? ||| Here’s what you need to know. ||| Did international support from the US help with the EndSars movement? |||  ||| Okay, but I meant the international community's response to the EndSars protests. |||  ||| How did the international community respond to the EndSars protests in Nigeria? |||  ||| What's an example of the reasons why (Special Anti-Robbery Squad) SARS officers detain people? |||  ||| Why was the Special Anti-Robbery Squad (SARS) established in the first place? |||  ||| A friend said there were massive protests in Nigeria towards the end of 2020. What happened? |||  |||| Reformulation: "
8,There was mention of the protection of Black lives earlier. How are they related?,"Query: There was mention of the protection of Black lives earlier. How is it related to this movement? |||| Context: That's cool. Tell me more about the Feminist Coalition. ||| It raised and managed funds for the movement, established a legal aid service made up of volunteers, and coordinated help lines to align efforts across the country. ||| My friend also mentioned that women were instrumental to the EndSars movement. What was their role? ||| Here’s what you need to know. ||| Did international support from the US help with the EndSars movement? |||  ||| Okay, but I meant the international community's response to the EndSars protests. |||  ||| How did the international community respond to the EndSars protests in Nigeria? |||  ||| What's an example of the reasons why (Special Anti-Robbery Squad) SARS officers detain people? |||  ||| Why was the Special Anti-Robbery Squad (SARS) established in the first place? |||  ||| A friend said there were massive protests in Nigeria towards the end of 2020. What happened? |||  |||| Reformulation: "
9,What role did women play in the BlackLivesMatter protests?,"Query: What role did women play in that? |||| Context: There was mention of the protection of Black lives earlier. How are they related? ||| The fight to protect black lives from unjust state violence has deep historical roots Some people, including Chicago mayor Rahm Emanuel, have expressed confusion as to why protesters believe recent police misconduct is emblematic of a system of racial injustice and not just a few bad apples. ||| That's cool. Tell me more about the Feminist Coalition. ||| It raised and managed funds for the movement, established a legal aid service made up of volunteers, and coordinated help lines to align efforts across the country. ||| My friend also mentioned that women were instrumental to the EndSars movement. What was their role? |||  ||| Did international support from the US help with the EndSars movement? |||  ||| Okay, but I meant the international community's response to the EndSars protests. |||  ||| How did the international community respond to the EndSars protests in Nigeria? |||  ||| What's an example of |||| Reformulation: "
0,I like fashion and animals. What career options should I consider?,Query: I like fashion and animals. What career options should I consider? |||| Context:  |||| Reformulation: 
1,Becoming a fashion designer sounds interesting. What's the job outlook?,"Query: Becoming a fashion designer sounds interesting. What's the job outlook? |||| Context: I like fashion and animals. What career options should I consider? ||| With a degree in fashion, fashion merchandising or a similar field, you may want to consider becoming a fashion designer. |||| Reformulation: "
2,How can I get a fashion design degree?,"Query: How can I get a degree in it? |||| Context: Becoming a fashion designer sounds interesting. What's the job outlook? ||| by Chris Newton; Updated September 26, 2017 Fashion design is an exciting career for creative people and people who have a passion for fashion, clothing and accessories. ||| I like fashion and animals. What career options should I consider? ||| With a degree in fashion, fashion merchandising or a similar field, you may want to consider becoming a fashion designer. |||| Reformulation: "
3,Okay. What does the Bachelor of Fine Arts degree in fashion portfolio usually consist of?,"Query: Okay. What does the portfolio usually consist of? |||| Context: How can I get a fashion design degree? ||| , you will usually create a portfolio and complete an internship. ||| Becoming a fashion designer sounds interesting. What's the job outlook? ||| by Chris Newton; Updated September 26, 2017 Fashion design is an exciting career for creative people and people who have a passion for fashion, clothing and accessories. ||| I like fashion and animals. What career options should I consider? |||  |||| Reformulation: "
4,What are the common entry requirements for a Bachelor of Fine Arts program?,"Query: What are the common entry requirements for the degree? |||| Context: Okay. What does the Bachelor of Fine Arts degree in fashion portfolio usually consist of? ||| An artist's portfolio consists of artwork that the artist can take to job interviews, conferences, galleries, and other networking opportunities to showcase his or her work, and give others an idea of what type of genre the artist works in. ||| How can I get a fashion design degree? ||| , you will usually create a portfolio and complete an internship. ||| Becoming a fashion designer sounds interesting. What's the job outlook? |||  ||| I like fashion and animals. What career options should I consider? |||  |||| Reformulation: "
5,I’ll consider those. How about my career options for my other interest in animals?,"Query: I’ll consider those. How about my options for my other interest? |||| Context: What are the common entry requirements for a Bachelor of Fine Arts program? ||| Many schools do not allow formal entry into a program until a student has successfully completed basic art and design courses. ||| Okay. What does the Bachelor of Fine Arts degree in fashion portfolio usually consist of? ||| An artist's portfolio consists of artwork that the artist can take to job interviews, conferences, galleries, and other networking opportunities to showcase his or her work, and give others an idea of what type of genre the artist works in. ||| How can I get a fashion design degree? |||  ||| Becoming a fashion designer sounds interesting. What's the job outlook? |||  ||| I like fashion and animals. What career options should I consider? |||  |||| Reformulation: "
6,Not quite. I want to know about career opportunities related to animals.,"Query: Not quite. I want to know about career opportunities related to animals. |||| Context: I’ll consider those. How about my career options for my other interest in animals? ||| Because the job markets in the fashion and journalism industries can be competitive, you may want to pursue a college internship in your professional area of interest. ||| What are the common entry requirements for a Bachelor of Fine Arts program? ||| Many schools do not allow formal entry into a program until a student has successfully completed basic art and design courses. ||| Okay. What does the Bachelor of Fine Arts degree in fashion portfolio usually consist of? |||  ||| How can I get a fashion design degree? |||  ||| Becoming a fashion designer sounds interesting. What's the job outlook? |||  ||| I like fashion and animals. What career options should I consider? |||  |||| Reformulation: "
7,How do I become a veterinarian?,"Query: How do I become a vet? |||| Context: Not quite. I want to know about career opportunities related to animals. ||| Career Pet Groomer Zoologist Veterinary Technician Education Requirements Apprenticeships Bachelor's Degree Associate's Degree Other Requirements Workshops and certifications ||| I’ll consider those. How about my career options for my other interest in animals? ||| Because the job markets in the fashion and journalism industries can be competitive, you may want to pursue a college internship in your professional area of interest. ||| What are the common entry requirements for a Bachelor of Fine Arts program? |||  ||| Okay. What does the Bachelor of Fine Arts degree in fashion portfolio usually consist of? |||  ||| How can I get a fashion design degree? |||  ||| Becoming a fashion designer sounds interesting. What's the job outlook? |||  ||| I like fashion and animals. What career options should I consider? |||  |||| Reformulation: "
8,What are the other steps to become a veterinarian?,"Query: What are the other steps? |||| Context: How do I become a veterinarian? ||| To become a vet, a doctorate degree in veterinary medicine is required and you must pass the North American Veterinary Licensing Exam to earn licensure. ||| Not quite. I want to know about career opportunities related to animals. ||| Career Pet Groomer Zoologist Veterinary Technician Education Requirements Apprenticeships Bachelor's Degree Associate's Degree Other Requirements Workshops and certifications ||| I’ll consider those. How about my career options for my other interest in animals? |||  ||| What are the common entry requirements for a Bachelor of Fine Arts program? |||  ||| Okay. What does the Bachelor of Fine Arts degree in fashion portfolio usually consist of? |||  ||| How can I get a fashion design degree? |||  ||| Becoming a fashion designer sounds interesting. What's the job outlook? |||  ||| I like fashion and animals. What career options should I consider? |||  |||| Reformulation: "
9,I understand that licenses are required to work as a veterinarian in the US. Tell me more about that.,"Query: I understand that licenses are required. Tell me more about that. |||| Context: What are the other steps to become a veterinarian? ||| This experience may be helpful in understanding certain aspects of the veterinary field and can open up opportunities to work in research rather than a clinical setting. ||| How do I become a veterinarian? ||| To become a vet, a doctorate degree in veterinary medicine is required and you must pass the North American Veterinary Licensing Exam to earn licensure. ||| Not quite. I want to know about career opportunities related to animals. |||  ||| I’ll consider those. How about my career options for my other interest in animals? |||  ||| What are the common entry requirements for a Bachelor of Fine Arts program? |||  ||| Okay. What does the Bachelor of Fine Arts degree in fashion portfolio usually consist of? |||  ||| How can I get a fashion design degree? |||  ||| Becoming a fashion designer sounds interesting. What's the job outlook? |||  ||| I like fashion and animals. What career options should I consider? |||  |||| Reformulation: "
10,What about a way to combine my interests in fashion and animals?,Query: What about a way to combine both of my interests? |||| Context: I understand that licenses are required to work as a veterinarian in the US. Tell me more about that. ||| Most states require veterinarians to participate in continuing education dealing with newly discovered diseases and newly developed treatments in order to renew a vet's license on a regular basis. ||| What are the other steps to become a veterinarian? ||| This experience may be helpful in understanding certain aspects of the veterinary field and can open up opportunities to work in research rather than a clinical setting. ||| How do I become a veterinarian? |||  ||| Not quite. I want to know about career opportunities related to animals. |||  ||| I’ll consider those. How about my career options for my other interest in animals? |||  ||| What are the common entry requirements for a Bachelor of Fine Arts program? |||  ||| Okay. What does the Bachelor of Fine Arts degree in fashion portfolio usually consist of? |||  ||| How can I get a fashion design degree? |||  ||| Becoming a fashio |||| Reformulation: 
0,My dog has been shaking and tilting its head a lot recently. What could be wrong?,Query: My dog has been shaking and tilting its head a lot recently. What could be wrong? |||| Context:  |||| Reformulation: 
1,I just checked my dog’s ears and there’s swelling in the outer portion. What could it be a symptom of?,"Query: I just checked and there’s swelling in the outer portion. What could it be? |||| Context: My dog has been shaking and tilting its head a lot recently. What could be wrong? ||| When your dog starts shaking their head like that, examine the ears, eyes, head, neck and skin carefully. |||| Reformulation: "
2,How dangerous could the inflammation or canine ear hematoma in my dog’s ears be?,"Query: How dangerous could these be? |||| Context: I just checked my dog’s ears and there’s swelling in the outer portion. What could it be a symptom of? ||| Another common cause of ||| My dog has been shaking and tilting its head a lot recently. What could be wrong? ||| When your dog starts shaking their head like that, examine the ears, eyes, head, neck and skin carefully. |||| Reformulation: "
3,I live in a remote area. How can I treat my dog’s ear infection at home?,Query: I live in a remote area. How can I treat it at home? |||| Context: How dangerous could the inflammation or canine ear hematoma in my dog’s ears be? ||| Each hospital is different though and you should talk with the veterinarians in your area. ||| I just checked my dog’s ears and there’s swelling in the outer portion. What could it be a symptom of? ||| Another common cause of ||| My dog has been shaking and tilting its head a lot recently. What could be wrong? |||  |||| Reformulation: 
4,My cat is also having similar symptoms to my dog. Would the home remedy work for her as well?,"Query: My cat is also having similar symptoms. Would that work for her as well? |||| Context: I live in a remote area. How can I treat my dog’s ear infection at home? ||| If a dog’s ear infection does not seem to get better with the use of home remedies, consult a veterinarian (traditional or holistic). ||| How dangerous could the inflammation or canine ear hematoma in my dog’s ears be? ||| Each hospital is different though and you should talk with the veterinarians in your area. ||| I just checked my dog’s ears and there’s swelling in the outer portion. What could it be a symptom of? |||  ||| My dog has been shaking and tilting its head a lot recently. What could be wrong? |||  |||| Reformulation: "
5,Thanks. I am also worried that my pets are susceptible to the coronavirus.,"Query: Thanks. I am also worried that they are susceptible to the coronavirus. |||| Context: My cat is also having similar symptoms to my dog. Would the home remedy work for her as well? ||| Your cat will feel much better and she will love you for it. ||| I live in a remote area. How can I treat my dog’s ear infection at home? ||| If a dog’s ear infection does not seem to get better with the use of home remedies, consult a veterinarian (traditional or holistic). ||| How dangerous could the inflammation or canine ear hematoma in my dog’s ears be? |||  ||| I just checked my dog’s ears and there’s swelling in the outer portion. What could it be a symptom of? |||  ||| My dog has been shaking and tilting its head a lot recently. What could be wrong? |||  |||| Reformulation: "
6,"Okay, but I also heard that a few animals have been reported to be infected with the coronavirus.","Query: Okay, but I also heard that a few have been reported to be infected. |||| Context: Thanks. I am also worried that my pets are susceptible to the coronavirus. ||| There’s no evidence that domestic pets play “a significant role in spreading the virus,” according to the Centers for Disease Control and Prevention. ||| My cat is also having similar symptoms to my dog. Would the home remedy work for her as well? ||| Your cat will feel much better and she will love you for it. ||| I live in a remote area. How can I treat my dog’s ear infection at home? |||  ||| How dangerous could the inflammation or canine ear hematoma in my dog’s ears be? |||  ||| I just checked my dog’s ears and there’s swelling in the outer portion. What could it be a symptom of? |||  ||| My dog has been shaking and tilting its head a lot recently. What could be wrong? |||  |||| Reformulation: "
7,How can I protect my pets from the coronavirus?,"Query: How can I protect them? |||| Context: Okay, but I also heard that a few animals have been reported to be infected with the coronavirus. ||| A pet dog in Hong Kong has a “low-level” infection of the coronavirus that causes covid-19 in people, in what may be the first known human-to-animal transmission of the novel coronavirus that has sickened more than 90,000 people worldwide. ||| Thanks. I am also worried that my pets are susceptible to the coronavirus. ||| There’s no evidence that domestic pets play “a significant role in spreading the virus,” according to the Centers for Disease Control and Prevention. ||| My cat is also having similar symptoms to my dog. Would the home remedy work for her as well? |||  ||| I live in a remote area. How can I treat my dog’s ear infection at home? |||  ||| How dangerous could the inflammation or canine ear hematoma in my dog’s ears be? |||  ||| I just checked my dog’s ears and there’s swelling in the outer portion. What could it be a symptom of? |||  ||| My dog has been shaking and tiltin |||| Reformulation: "
8,Ok. But what about protecting my dog from the coronavirus?,"Query: Ok. But what about my dog? |||| Context: How can I protect my pets from the coronavirus? ||| Providing proper nutrition, exercise, and a low-stress environment is the best way to keep your pet healthy. ||| Okay, but I also heard that a few animals have been reported to be infected with the coronavirus. ||| A pet dog in Hong Kong has a “low-level” infection of the coronavirus that causes covid-19 in people, in what may be the first known human-to-animal transmission of the novel coronavirus that has sickened more than 90,000 people worldwide. ||| Thanks. I am also worried that my pets are susceptible to the coronavirus. |||  ||| My cat is also having similar symptoms to my dog. Would the home remedy work for her as well? |||  ||| I live in a remote area. How can I treat my dog’s ear infection at home? |||  ||| How dangerous could the inflammation or canine ear hematoma in my dog’s ears be? |||  ||| I just checked my dog’s ears and there’s swelling in the outer portion. What could it be a symptom of? |||  ||| My dog has been sh |||| Reformulation: "
0,Why did Michael Jackson go so far to alter his appearance?,Query: Why did Michael Jackson go so far to alter his appearance? |||| Context:  |||| Reformulation: 
1,What else was Michael Jackson’s vexed relationship to his skin about?,Query: What else was it about? |||| Context: Why did Michael Jackson go so far to alter his appearance? ||| Michael would later have procedures to try to limit the appearance of his acne scars. |||| Reformulation: 
2,Okay. Did the Jacksons vegetarian diet help to fight their acne?,"Query: Okay. Did the diet help? |||| Context: What else was Michael Jackson’s vexed relationship to his skin about? ||| In an attempt to ease his ongoing discomfort, a plastic surgeon tried to eliminate some of Jackson’s scar tissue. ||| Why did Michael Jackson go so far to alter his appearance? ||| Michael would later have procedures to try to limit the appearance of his acne scars. |||| Reformulation: "
3,Never mind. Tell me more about the Pepsi commercial where Michael Jackson burned his skin.,"Query: Never mind. Tell me more about the Pepsi commercial. |||| Context: Okay. Did the Jacksons vegetarian diet help to fight their acne? ||| Here are tips for following a acne-free diet ||| What else was Michael Jackson’s vexed relationship to his skin about? ||| In an attempt to ease his ongoing discomfort, a plastic surgeon tried to eliminate some of Jackson’s scar tissue. ||| Why did Michael Jackson go so far to alter his appearance? |||  |||| Reformulation: "
4,How did Michael Jackson’s dependence on medicine lead to his death?,Query: How so? |||| Context: Never mind. Tell me more about the Pepsi commercial where Michael Jackson burned his skin. ||| It turned out the singer had suffered third-degree burns to his scalp. ||| Okay. Did the Jacksons vegetarian diet help to fight their acne? ||| Here are tips for following a acne-free diet ||| What else was Michael Jackson’s vexed relationship to his skin about? |||  ||| Why did Michael Jackson go so far to alter his appearance? |||  |||| Reformulation: 
5,Okay. How did Michael Jackson’s skin conditions affect his art and legacy?,"Query: Okay. How did it affect his art and legacy? |||| Context: How did Michael Jackson’s dependence on medicine lead to his death? ||| “83 Minutes” returns often to this idea that Jackson’s demise was inevitable, not only because of Murray’s negligence, but also because of previous doctors who accommodated Jackson’s desire for propofol and other drugs, and Jackson himself, who apparently considered himself immune to the risks. ||| Never mind. Tell me more about the Pepsi commercial where Michael Jackson burned his skin. ||| It turned out the singer had suffered third-degree burns to his scalp. ||| Okay. Did the Jacksons vegetarian diet help to fight their acne? |||  ||| What else was Michael Jackson’s vexed relationship to his skin about? |||  ||| Why did Michael Jackson go so far to alter his appearance? |||  |||| Reformulation: "
0,I remember there was a global coffee shortage some time ago. Can you tell me more about that?,Query: I remember there was a global coffee shortage some time ago. Can you tell me more about that? |||| Context:  |||| Reformulation: 
1,What caused the drought in Brazil’s coffee belt region?,"Query: What caused the drought? |||| Context: I remember there was a global coffee shortage some time ago. Can you tell me more about that? ||| The drought is historic, with more than 140 cities in Brazil forced to ration water. |||| Reformulation: "
2,I also heard that other Latin American countries had coffee production issues. Was the disruption due to the drought widespread?,"Query: I also heard that other Latin American countries had coffee production issues. Was the disruption widespread? |||| Context: What caused the drought in Brazil’s coffee belt region? ||| AFNR05 Feb 2015Brazil possesses 12 per cent of the world’s freshwater, and yet São Paulo – the biggest and richest city in South America – is suffering from severe drought with deforestation getting the blame Water rationing. ||| I remember there was a global coffee shortage some time ago. Can you tell me more about that? ||| The drought is historic, with more than 140 cities in Brazil forced to ration water. |||| Reformulation: "
3,It sounds like the reduction in coffee production in Latin America and the drought in Brazil are not related. What are the origins of coffee rust? And how did it spread?,"Query: It sounds like they are not related. What are its origins? And how did it spread? |||| Context: I also heard that other Latin American countries had coffee production issues. Was the disruption due to the drought widespread? ||| At issue is a fungus called coffee rust that has caused more than $1 billion in damage across the Latin American region. ||| What caused the drought in Brazil’s coffee belt region? ||| AFNR05 Feb 2015Brazil possesses 12 per cent of the world’s freshwater, and yet São Paulo – the biggest and richest city in South America – is suffering from severe drought with deforestation getting the blame Water rationing. ||| I remember there was a global coffee shortage some time ago. Can you tell me more about that? |||  |||| Reformulation: "
4,Okay. The US government tried to help eliminate the fungus in order to prevent the economic situation of Latin American countries from deteriorating. What did they do to help?,"Query: Okay. The US government tried to help the situation. What did they do to help? |||| Context: It sounds like the reduction in coffee production in Latin America and the drought in Brazil are not related. What are the origins of coffee rust? And how did it spread? ||| that causes coffee leaf rust (CLR), a disease that is devastating to susceptible coffee plantations. ||| I also heard that other Latin American countries had coffee production issues. Was the disruption due to the drought widespread? ||| At issue is a fungus called coffee rust that has caused more than $1 billion in damage across the Latin American region. ||| What caused the drought in Brazil’s coffee belt region? |||  ||| I remember there was a global coffee shortage some time ago. Can you tell me more about that? |||  |||| Reformulation: "
5,"No, I want to know what the United States did to help with the coffee rust epidemic in Latin America.","Query: No, I want to know what they did to help with the coffee rust epidemic in Latin America. |||| Context: Okay. The US government tried to help eliminate the fungus in order to prevent the economic situation of Latin American countries from deteriorating. What did they do to help? |||  ||| It sounds like the reduction in coffee production in Latin America and the drought in Brazil are not related. What are the origins of coffee rust? And how did it spread? ||| that causes coffee leaf rust (CLR), a disease that is devastating to susceptible coffee plantations. ||| I also heard that other Latin American countries had coffee production issues. Was the disruption due to the drought widespread? |||  ||| What caused the drought in Brazil’s coffee belt region? |||  ||| I remember there was a global coffee shortage some time ago. Can you tell me more about that? |||  |||| Reformulation: "
6,Okay. What did big coffee companies do? How did they try to help with the coffee rust epidemic?,"Query: Okay. What did big coffee companies do? How did they try to help? |||| Context: No, I want to know what the United States did to help with the coffee rust epidemic in Latin America. ||| ""Coffee doesn't have a very broad genetic base,""""Lombardini says. ||| Okay. The US government tried to help eliminate the fungus in order to prevent the economic situation of Latin American countries from deteriorating. What did they do to help? |||  ||| It sounds like the reduction in coffee production in Latin America and the drought in Brazil are not related. What are the origins of coffee rust? And how did it spread? |||  ||| I also heard that other Latin American countries had coffee production issues. Was the disruption due to the drought widespread? |||  ||| What caused the drought in Brazil’s coffee belt region? |||  ||| I remember there was a global coffee shortage some time ago. Can you tell me more about that? |||  |||| Reformulation: "
7,How did the drought in Brazil and the coffee rust disease in Latin America affect global coffee consumption?,"Query: How did all these affect global consumption? |||| Context: Okay. What did big coffee companies do? How did they try to help with the coffee rust epidemic? ||| “Supporting the farmer’s ability to access information, technology and resources allows them to adapt to these uncertainties and ensures the longevity of our industry’s supply chain,” said Craig Russell, Starbucks Global Coffee executive vice president. ||| No, I want to know what the United States did to help with the coffee rust epidemic in Latin America. ||| ""Coffee doesn't have a very broad genetic base,""""Lombardini says. ||| Okay. The US government tried to help eliminate the fungus in order to prevent the economic situation of Latin American countries from deteriorating. What did they do to help? |||  ||| It sounds like the reduction in coffee production in Latin America and the drought in Brazil are not related. What are the origins of coffee rust? And how did it spread? |||  ||| I also heard that other Latin American countries had coffee production issues. Was the disruption due  |||| Reformulation: "
8,"That’s interesting, coffee consumption is not very elastic. Would investing in coffee make sense?","Query: That’s interesting, consumption is not very elastic. Would investing in it make sense? |||| Context: How did the drought in Brazil and the coffee rust disease in Latin America affect global coffee consumption? ||| Unlike say, corn, planting more coffee during the next growing season won't mean more beans are available at the next harvest — it takes several years for a coffee plant to reach maturity. ||| Okay. What did big coffee companies do? How did they try to help with the coffee rust epidemic? ||| “Supporting the farmer’s ability to access information, technology and resources allows them to adapt to these uncertainties and ensures the longevity of our industry’s supply chain,” said Craig Russell, Starbucks Global Coffee executive vice president. ||| No, I want to know what the United States did to help with the coffee rust epidemic in Latin America. |||  ||| Okay. The US government tried to help eliminate the fungus in order to prevent the economic situation of Latin American countries from deteriorating. What did they do to help? |||  ||| It sounds like the reduction in coffee p |||| Reformulation: "
0,I heard Bernie Sanders was ill recently. What happened?,Query: I heard Bernie Sanders was ill recently. What happened? |||| Context:  |||| Reformulation: 
1,What did the doctors do to treat Bernie Sanders when he had a heart attack?,"Query: What did the doctors do? |||| Context: I heard Bernie Sanders was ill recently. What happened? ||| The senator has made an “uneventful recovery” from his heart attack, LeWinter said, adding that Sanders has been taking several medications routinely prescribed after heart attacks. |||| Reformulation: "
2,How did the heart attack affect Bernie Sanders’ presidential campaign?,"Query: How did it affect the campaign? |||| Context: What did the doctors do to treat Bernie Sanders when he had a heart attack? ||| Sanders felt “chest discomfort” Tuesday night at a campaign event, campaign aides said in a statement. ||| I heard Bernie Sanders was ill recently. What happened? ||| The senator has made an “uneventful recovery” from his heart attack, LeWinter said, adding that Sanders has been taking several medications routinely prescribed after heart attacks. |||| Reformulation: "
3,How did Bernie Sanders attempt to regain the public's confidence after recovering from his heart attack?,"Query: How did he attempt to regain the public's confidence? |||| Context: How did the heart attack affect Bernie Sanders’ presidential campaign? ||| Sen. Bernie Sanders’s admission late Friday that he had suffered a heart attack three days earlier invited new scrutiny of the presidential candidate’s age, health and ability to keep up with the rigors of a national campaign. ||| What did the doctors do to treat Bernie Sanders when he had a heart attack? ||| Sanders felt “chest discomfort” Tuesday night at a campaign event, campaign aides said in a statement. ||| I heard Bernie Sanders was ill recently. What happened? |||  |||| Reformulation: "
4,Okay. What did Bernie Sanders’ health records released after his heart attack say?,"Query: Okay. What did the records say? |||| Context: How did Bernie Sanders attempt to regain the public's confidence after recovering from his heart attack? ||| LeWinter’s letter was one of three provided by the Sanders campaign, which had said it would release the candidate’s health records by the end of the year. ||| How did the heart attack affect Bernie Sanders’ presidential campaign? ||| Sen. Bernie Sanders’s admission late Friday that he had suffered a heart attack three days earlier invited new scrutiny of the presidential candidate’s age, health and ability to keep up with the rigors of a national campaign. ||| What did the doctors do to treat Bernie Sanders when he had a heart attack? |||  ||| I heard Bernie Sanders was ill recently. What happened? |||  |||| Reformulation: "
5,Okay. I'd like to know more about Bernie Sanders' decision not to release his medical records after his heart attack.,"Query: Okay, I'd like to know more about his decision. |||| Context: Okay. What did Bernie Sanders’ health records released after his heart attack say? ||| But now, when asked if he’ll be releasing more records, Sanders answered, “I don’t think we will. ||| How did Bernie Sanders attempt to regain the public's confidence after recovering from his heart attack? ||| LeWinter’s letter was one of three provided by the Sanders campaign, which had said it would release the candidate’s health records by the end of the year. ||| How did the heart attack affect Bernie Sanders’ presidential campaign? |||  ||| What did the doctors do to treat Bernie Sanders when he had a heart attack? |||  ||| I heard Bernie Sanders was ill recently. What happened? |||  |||| Reformulation: "
6,"What about the other Democratic presidential candidates, did they release their health records?","Query: What about the other candidates? Did they release theirs? |||| Context: Okay. I'd like to know more about Bernie Sanders' decision not to release his medical records after his heart attack. ||| — fellow septuagenarians who join Sanders at the top of most polls — have also committed to releasing their medical records. ||| Okay. What did Bernie Sanders’ health records released after his heart attack say? ||| But now, when asked if he’ll be releasing more records, Sanders answered, “I don’t think we will. ||| How did Bernie Sanders attempt to regain the public's confidence after recovering from his heart attack? |||  ||| How did the heart attack affect Bernie Sanders’ presidential campaign? |||  ||| What did the doctors do to treat Bernie Sanders when he had a heart attack? |||  ||| I heard Bernie Sanders was ill recently. What happened? |||  |||| Reformulation: "
7,Should there be an age limit on the presidency of the United States?,"Query: Should there be an age limit on the presidency? |||| Context: What about the other Democratic presidential candidates, did they release their health records? ||| has been adequately forthcoming about his medical records. ||| Okay. I'd like to know more about Bernie Sanders' decision not to release his medical records after his heart attack. ||| — fellow septuagenarians who join Sanders at the top of most polls — have also committed to releasing their medical records. ||| Okay. What did Bernie Sanders’ health records released after his heart attack say? |||  ||| How did Bernie Sanders attempt to regain the public's confidence after recovering from his heart attack? |||  ||| How did the heart attack affect Bernie Sanders’ presidential campaign? |||  ||| What did the doctors do to treat Bernie Sanders when he had a heart attack? |||  ||| I heard Bernie Sanders was ill recently. What happened? |||  |||| Reformulation: "
0,I'm about to become a dad and I want to get fit before it gets too hard. How do I get started?,Query: I'm about to become a dad and I want to get fit before it gets too hard. How do I get started? |||| Context:  |||| Reformulation: 
1,Okay. Should I try CrossFit to get fit?,Query: Okay. Should I try CrossFit? |||| Context: I'm about to become a dad and I want to get fit before it gets too hard. How do I get started? ||| I worry that my daughter will someday wish I’d work the burger line at the team picnic rather than make her cringe by joining in the game. |||| Reformulation: 
2,That sounds very intense but useful to me. How does CrossFit compare with just weightlifting to get fit?,"Query: That sounds very intense but useful for me. How does it compare with just weightlifting? |||| Context: Okay. Should I try CrossFit to get fit? ||| Besides the intensity factor, what distinguishes CrossFit from other gym-based workouts is its constantly changing exercises and emphasis on moves — bending and squatting, for example — that are functional in everyday life, says Russell Berger, a head trainer for ||| I'm about to become a dad and I want to get fit before it gets too hard. How do I get started? ||| I worry that my daughter will someday wish I’d work the burger line at the team picnic rather than make her cringe by joining in the game. |||| Reformulation: "
